Microbiology,BIO-225-W08,,2023 Summer 1,5/30/2023 - 6/28/2023,,Off Site,,,INT,24,0
Introduction to Baking,BKP-101-001,M T W TH,2023 Summer 1,5/30/2023 - 6/15/2023,08:00 AM - 12:30 PM,Thornley,920,206,HYB,16,0
Business Ethics,BUS-220-W01,,2023 Summer 1,5/30/2023 - 6/28/2023,,Off Site,,,INT,35,0
Intro. to Int'l Business,BUS-250-W01,,2023 Summer 1,5/30/2023 - 6/28/2023,,Off Site,,,INT,35,0
Introductory Chemistry,CHM-100-W01,,2023 Summer 1,5/30/2023 - 6/28/2023,,Off Site,,,INT,18,0
College Chemistry I,CHM-110-W01,,2023 Summer 1,5/30/2023 - 6/28/2023,,Off Site,,,INT,16,0
College Chemistry I,CHM-110-W02,,2023 Summer 1,5/30/2023 - 6/28/2023,,Off Site,,,INT,16,0
College Chemistry I,CHM-110-W03,,2023 Summer 1,5/30/2023 - 6/28/2023,,Off Site,,,INT,16,0
College Chemistry II,CHM-111-W01,,2023 Summer 1,5/30/2023 - 6/28/2023,,Off Site,,,INT,16,0
College Chemistry II,CHM-111-W02,,2023 Summer 1,5/30/2023 - 6/28/2023,,Off Site,,,INT,16,0
College Chemistry II,CHM-111-W03,,2023 Summer 1,5/30/2023 - 6/28/2023,,Off Site,,,INT,16,0
Organic Chemistry I,CHM-211-W01,,2023 Summer 1,5/30/2023 - 6/28/2023,,Off Site,,,INT,16,0
Organic Chemistry I,CHM-211-W02,,2023 Summer 1,5/30/2023 - 6/28/2023,,Off Site,,,INT,16,0
Organic Chemistry II,CHM-212-W01,,2023 Summer 1,5/30/2023 - 6/28/2023,,Off Site,,,INT,16,0
Organic Chemistry II,CHM-212-W02,,2023 Summer 1,5/30/2023 - 6/28/2023,,Off Site,,,INT,16,0
Bacteria & Other Infect Agents,COS-131-B01,M W,2023 Summer 1,5/30/2023 - 6/28/2023,08:00 AM - 10:45 AM,Berkeley,6100,158,LEC,10,0
Science of Nail Technology,COS-132-B01,T TH,2023 Summer 1,5/30/2023 - 6/28/2023,08:00 AM - 10:45 AM,Berkeley,6100,158,LEC,10,0
Basic Procedures,COS-133-B01,TH,2023 Summer 1,5/30/2023 - 6/28/2023,11:16 AM - 01:29 PM,Berkeley,6100,158,LAB,10,0
Basic Procedures,COS-133-B01,M W,2023 Summer 1,5/30/2023 - 6/28/2023,11:16 AM - 02:03 PM,Berkeley,6100,158,LEC,10,0
Basic Procedures,COS-133-B01,M W,2023 Summer 1,5/30/2023 - 6/28/2023,02:04 PM - 05:00 PM,Berkeley,6100,158,LAB,10,0
Fund. of Artificial Nail App.,COS-136-B01,F,2023 Summer 1,5/30/2023 - 6/28/2023,08:00 AM - 10:11 AM,Berkeley,6100,158,LEC,10,0
Fund. of Artificial Nail App.,COS-136-B01,F,2023 Summer 1,5/30/2023 - 6/28/2023,10:12 AM - 05:00 PM,Berkeley,6100,158,LAB,10,0
Fund. of Artificial Nail App.,COS-136-B01,T,2023 Summer 1,5/30/2023 - 6/28/2023,11:16 AM - 05:00 PM,Berkeley,6100,158,LEC,10,0
Fund. of Artificial Nail App.,COS-136-B01,TH,2023 Summer 1,5/30/2023 - 6/28/2023,01:30 PM - 05:00 PM,Berkeley,6100,158,LAB,10,0
Dermatology,COS-151-B01,M T TH,2023 Summer 1,5/30/2023 - 6/28/2023,12:31 PM - 04:01 PM,Berkeley,6100,150,LEC,16,0
Fundamentals of Massage,COS-156-B01,M T W TH F,2023 Summer 1,5/30/2023 - 6/28/2023,08:30 AM - 12:00 PM,Berkeley,6100,150,LAB,16,0
Infection Control for Esthetic,COS-172-B01,W,2023 Summer 1,5/30/2023 - 6/28/2023,01:31 PM - 03:31 PM,Berkeley,6100,150,LEC,16,0
Microcomputer Spreadsheets,CPT-174-W02,,2023 Summer 1,5/30/2023 - 6/28/2023,,Off Site,,,INT,30,0
Information Systems Security,CPT-282-W03,,2023 Summer 1,5/30/2023 - 6/28/2023,,Off Site,,,INT,28,0
Kitchen Fundamentals,CUL-105-001,M T W TH,2023 Summer 1,5/30/2023 - 6/15/2023,08:00 AM - 12:30 PM,Thornley,920,121,HYB,16,0
Nutritional Cooking,CUL-118-001,M T W TH,2023 Summer 1,5/30/2023 - 6/15/2023,08:00 AM - 12:30 PM,Thornley,920,119,HYB,16,0
American Bistro,CUL-123-001,M T W TH,2023 Summer 1,5/30/2023 - 6/15/2023,08:00 AM - 12:30 PM,Thornley,920,405LAB2,HYB,12,0
Cuisines of Asia,CUL-187-001,M T W TH,2023 Summer 1,5/30/2023 - 6/15/2023,08:00 AM - 12:30 PM,Thornley,920,405LAB1,HYB,12,0
Special Topics in Culinary,CUL-299-002,T W,2023 Summer 1,5/30/2023 - 6/28/2023,09:00 AM - 02:00 PM,Thornley,920,301,HYB,12,0
Special Topics in Culinary,CUL-299-003,T W,2023 Summer 1,5/30/2023 - 6/28/2023,09:00 AM - 02:00 PM,Thornley,920,407,HYB,12,0
Macroeconomics,ECO-210-W03,,2023 Summer 1,5/30/2023 - 6/28/2023,,Off Site,,,INT,35,0
AC Circuits I,EEM-119-001,M W,2023 Summer 1,5/30/2023 - 6/28/2023,06:00 PM - 08:20 PM,Thornley,920,614,LEC,12,0
AC Circuits I,EEM-119-001,M W,2023 Summer 1,5/30/2023 - 6/28/2023,08:30 PM - 10:35 PM,Thornley,920,614,LAB,12,0
National Electrical Code I,EEM-138-001,T,2023 Summer 1,5/30/2023 - 6/28/2023,06:00 PM - 09:05 PM,Thornley,920,815C,LEC,12,0
National Electrical Code I,EEM-138-001,M W,2023 Summer 1,5/30/2023 - 6/28/2023,06:00 PM - 10:15 PM,Thornley,920,815C,LAB,12,0
Commercial/Industrial Wiring I,EEM-167-001,T TH,2023 Summer 1,5/30/2023 - 6/28/2023,12:30 PM - 02:50 PM,Thornley,920,624,LEC,12,0
Commercial/Industrial Wiring I,EEM-167-001,T TH,2023 Summer 1,5/30/2023 - 6/28/2023,03:00 PM - 05:05 PM,Thornley,920,624,LAB,12,0
Engineering Statics,EGR-260-W01,,2023 Summer 1,5/30/2023 - 6/28/2023,,Off Site,,,INT,25,0
Principles of Instrumentation,EIT-110-001,M W,2023 Summer 1,5/30/2023 - 6/28/2023,02:30 PM - 05:30 PM,Thornley,1000,101,HYB,15,0
English Composition I,ENG-101-W08,,2023 Summer 1,5/30/2023 - 6/28/2023,,Off Site,,,INT,28,0
English Composition I,ENG-101-W09,,2023 Summer 1,5/30/2023 - 6/28/2023,,Off Site,,,INT,28,0
English Composition II,ENG-102-W07,,2023 Summer 1,5/30/2023 - 6/28/2023,,Off Site,,,INT,28,0
Elementary French II,FRE-102-W01,,2023 Summer 1,5/30/2023 - 6/28/2023,,Off Site,,,INT,26,0
Western Civilization to 1689,HIS-101-W04,,2023 Summer 1,5/30/2023 - 6/28/2023,,Off Site,,,INT,30,0
Western Civilization Post 1689,HIS-102-W03,,2023 Summer 1,5/30/2023 - 6/28/2023,,Off Site,,,INT,30,0
World History I,HIS-104-W04,,2023 Summer 1,5/30/2023 - 6/28/2023,,Off Site,,,INT,30,0
American History to 1877,HIS-201-W03,,2023 Summer 1,5/30/2023 - 6/28/2023,,Off Site,,,INT,30,0
American History 1877 to Pres,HIS-202-W03,,2023 Summer 1,5/30/2023 - 6/28/2023,,Off Site,,,INT,30,0
The Hospitality Industry,HOS-140-W01,,2023 Summer 1,5/30/2023 - 6/28/2023,,Off Site,,,INT,25,0
Event Management,HOS-161-W01,,2023 Summer 1,5/30/2023 - 6/28/2023,,Off Site,,,INT,20,0
Travel and Tourism,HOS-164-W02,,2023 Summer 1,5/30/2023 - 6/28/2023,,Off Site,,,INT,25,0
Hospitality Marketing,HOS-245-W01,,2023 Summer 1,5/30/2023 - 6/28/2023,,Off Site,,,INT,25,0
Beverage Service Management,HOS-250-W01,,2023 Summer 1,5/30/2023 - 6/28/2023,,Off Site,,,INT,25,0
Introduction to Wine,HOS-251-W01,,2023 Summer 1,5/30/2023 - 6/28/2023,,Off Site,,,INT,16,0
"Hotel, Restaurant, Travel Law",HOS-265-W01,,2023 Summer 1,5/30/2023 - 6/28/2023,,Off Site,,,INT,25,0
First Year Experience Seminar,IDS-109-W10,,2023 Summer 1,5/30/2023 - 6/28/2023,,Off Site,,,INT,30,0
First Year Experience Seminar,IDS-109-W11,,2023 Summer 1,5/30/2023 - 6/28/2023,,Off Site,,,INT,30,0
First Year Experience Seminar,IDS-109-W12,,2023 Summer 1,5/30/2023 - 6/28/2023,,Off Site,,,INT,30,0
First Year Experience Seminar,IDS-109-W13,,2023 Summer 1,5/30/2023 - 6/28/2023,,Off Site,,,INT,30,0
Beginning Algebra,MAT-101-W10,,2023 Summer 1,5/30/2023 - 6/28/2023,,Off Site,,,INT,35,0
College Algebra,MAT-110-W10,,2023 Summer 1,5/30/2023 - 6/28/2023,,Off Site,,,INT,35,0
College Algebra,MAT-110-W11,,2023 Summer 1,5/30/2023 - 6/28/2023,,Off Site,,,INT,35,0
Probability and Statistics,MAT-120-W10,,2023 Summer 1,5/30/2023 - 6/28/2023,,Off Site,,,INT,35,0
Probability and Statistics,MAT-120-W11,,2023 Summer 1,5/30/2023 - 6/28/2023,,Off Site,,,INT,35,0
Probability and Statistics,MAT-120-W12,,2023 Summer 1,5/30/2023 - 6/28/2023,,Off Site,,,INT,35,0
Analytic Geometry & Calculus I,MAT-140-W01,,2023 Summer 1,5/30/2023 - 6/28/2023,,Off Site,,,INT,35,0
Principles of Management,MGT-101-W02,,2023 Summer 1,5/30/2023 - 6/28/2023,,Off Site,,,INT,35,0
Small Business Management,MGT-120-W01,,2023 Summer 1,5/30/2023 - 6/28/2023,,Off Site,,,INT,35,0
Music Appreciation,MUS-105-W03,,2023 Summer 1,5/30/2023 - 6/28/2023,,Off Site,,,INT,30,0
Music Appreciation,MUS-105-W07,,2023 Summer 1,5/30/2023 - 6/28/2023,,Off Site,,,INT,30,0
Clinical Skills Application,NUR-206-Z17,,2023 Summer 1,5/30/2023 - 6/28/2023,,Off Site,HOSP,111,LAB,8,0
Clinical Skills Application,NUR-206-Z18,,2023 Summer 1,5/30/2023 - 6/28/2023,,Off Site,HOSP,111,LAB,8,0
Clinical Skills Application,NUR-206-Z19,,2023 Summer 1,5/30/2023 - 6/28/2023,,Off Site,HOSP,111,LAB,8,0
